name,length,is_ordered,verdict,tci,tci_raw,g1,g2,g3,g4,g5,latency_ms,best_hypothesis
Villin HP36,35,True,PROBABLE,0.9900,0.6372,0.5905,0.7039,0.5105,0.8121,0.5092,62.68,alpha_helix
Trp-cage,20,True,REJECT,0.2187,0.3531,0.5503,0.5214,0.4507,0.4395,0.4819,42.26,disordered
GCN4 leucine zipper,32,True,DETERMINISTIC,0.9738,0.6197,0.6013,0.7552,0.5698,0.7064,0.5366,46.43,beta_sheet
EK helix peptide,21,True,PROBABLE,0.9843,0.6257,0.7291,0.9225,0.4748,0.6701,0.3500,28.91,alpha_helix
GB1 beta-hairpin,16,True,PROBABLE,0.8829,0.5988,0.6303,0.6748,0.5074,0.7804,0.5015,24.67,beta_sheet
WW domain,34,True,WEAK,0.2845,0.4978,0.5644,0.5308,0.4633,0.6360,0.5452,46.22,disordered
Abeta42 fibril core,27,True,DETERMINISTIC,0.9417,0.6024,0.6337,0.9845,0.5889,0.6111,0.5816,38.39,beta_sheet
Ubiquitin,76,True,PROBABLE,0.8589,0.5862,0.5664,0.6996,0.5060,0.6661,0.6187,114.56,beta_sheet
Lysozyme C,82,True,PROBABLE,0.9900,0.6852,0.5691,0.7342,0.4657,0.8400,0.6441,123.97,disordered
Chignolin,10,True,REJECT,0.1929,0.3332,0.4840,0.2935,0.4485,0.5254,0.3884,18.82,disordered
BPTI,58,True,PROBABLE,0.9731,0.6193,0.5610,0.9632,0.4529,0.6746,0.5576,84.33,disordered
SH3 domain,62,True,PROBABLE,0.9652,0.6149,0.5403,0.6368,0.4472,0.6994,0.6363,94.49,disordered
Protein G B1,56,True,PROBABLE,0.9900,0.6383,0.6086,0.7621,0.4787,0.7592,0.5753,72.99,beta_sheet
Calmodulin,147,True,PROBABLE,0.9571,0.7188,0.5576,0.8127,0.5033,0.8058,0.6791,197.74,beta_sheet
GFP-like beta-barrel,238,True,PROBABLE,0.9467,0.7072,0.5711,0.8430,0.4960,0.8088,0.6334,349.06,disordered
RNase A,124,True,PROBABLE,0.9532,0.7144,0.5807,0.6668,0.4928,0.8711,0.6522,158.17,disordered
Cytochrome C,103,True,PROBABLE,0.7515,0.5357,0.5393,0.7195,0.4676,0.5859,0.6644,137.96,disordered
alpha-Synuclein N-term,43,False,REJECT,0.2331,0.4496,0.5681,0.8963,0.4919,0.4493,0.4721,58.43,alpha_helix
p53 TAD,44,False,REJECT,0.1888,0.4069,0.4258,0.5888,0.4824,0.6827,0.4980,59.43,disordered
FUS LCD,38,False,REJECT,0.1883,0.2498,0.5074,0.2882,0.2947,0.3565,0.0166,53.62,disordered
Tau MTBR R2,46,False,REJECT,0.2094,0.4270,0.5318,0.7213,0.5069,0.4112,0.5196,73.96,disordered
HMGB1 linker,57,False,WEAK,0.2625,0.3840,0.5476,0.3938,0.5018,0.3435,0.7140,103.96,disordered
MeV NTAIL,43,False,REJECT,0.2223,0.4393,0.5126,0.5423,0.4332,0.5119,0.5447,60.05,disordered
PolyGln (Q20),20,False,REJECT,0.2002,0.3390,0.6879,0.1695,0.2727,0.4500,0.3500,30.22,alpha_helix
Prothymosin alpha,86,False,PROBABLE,0.6749,0.5033,0.5208,0.6366,0.4979,0.4780,0.8042,110.76,disordered
c-Fos N-term,77,False,PROBABLE,0.9900,0.6344,0.6146,0.6611,0.4498,0.7890,0.6003,104.28,disordered
c-Jun N-term,120,False,PROBABLE,0.9898,0.6289,0.5877,0.6627,0.4782,0.7375,0.6317,151.76,disordered
p27 Kip1,155,False,PROBABLE,0.7079,0.5170,0.5645,0.6787,0.4548,0.5479,0.6597,218.76,disordered
Osteopontin,283,False,PROBABLE,0.9900,0.6326,0.5786,0.5054,0.4741,0.7787,0.6805,397.59,disordered
Alpha-casein,199,False,DETERMINISTIC,0.9605,0.7228,0.5850,0.7043,0.5240,0.7981,0.7060,253.85,beta_sheet
Beta-casein,209,False,REJECT,0.2482,0.4638,0.5962,0.6753,0.4925,0.5263,0.6175,277.94,beta_sheet
Histone H1,206,False,REJECT,0.1893,0.4074,0.5870,0.7380,0.4807,0.3322,0.6816,270.79,alpha_helix
Nucleophosmin N-term,294,False,PROBABLE,0.9900,0.6652,0.5352,0.6851,0.5040,0.7059,0.7219,364.84,disordered
SIC1,211,False,REJECT,0.2026,0.3409,0.5911,0.4316,0.5532,0.3886,0.5802,292.28,disordered
CREB1 TAD,102,False,PROBABLE,0.8845,0.5997,0.5415,0.6734,0.4786,0.6550,0.6029,136.21,disordered
Crambin,46,True,PROBABLE,0.7296,0.5262,0.6309,0.8149,0.5076,0.5786,0.5856,65.70,beta_sheet
HhaI MTase fragment,45,True,REJECT,0.2422,0.4581,0.5346,0.4138,0.4767,0.5967,0.6366,64.07,disordered
Rubredoxin,54,True,PROBABLE,0.9900,0.6465,0.5684,0.7099,0.4680,0.7142,0.6361,79.11,beta_sheet
FF Domain 1,73,True,WEAK,0.2689,0.3882,0.5268,0.4184,0.4309,0.4538,0.6776,101.54,disordered
Engrailed Homeodomain,58,True,DETERMINISTIC,0.9481,0.7087,0.5536,0.7778,0.5135,0.8815,0.6391,88.14,beta_sheet
Annexin V domain,67,True,DETERMINISTIC,0.8951,0.8008,0.6772,0.9352,0.5345,0.8889,0.6749,101.54,beta_sheet
Minicollagen,49,True,REJECT,0.0759,0.0903,0.5274,0.1139,0.2468,0.0206,0.0166,69.13,disordered
Zif268 Zn Finger,56,True,REJECT,0.1977,0.4158,0.5276,0.3937,0.4451,0.5293,0.6530,78.12,disordered
CspA Cold Shock,61,True,PROBABLE,0.8597,0.5866,0.5245,0.6315,0.4849,0.6904,0.5913,101.96,disordered
FKBP12,107,True,PROBABLE,0.7919,0.5537,0.5580,0.7250,0.4756,0.5806,0.7853,144.93,disordered
Cro Repressor,66,True,DETERMINISTIC,0.9900,0.6747,0.5836,0.8386,0.5157,0.7881,0.5486,100.91,beta_sheet
CheY Chemotaxis,128,True,PROBABLE,0.9695,0.7340,0.6008,0.9059,0.4948,0.8448,0.5982,192.18,beta_sheet
Ras p21,166,True,PROBABLE,0.9688,0.7331,0.5959,0.8128,0.4957,0.8698,0.6325,280.81,beta_sheet
Plastocyanin,95,True,PROBABLE,0.9900,0.6598,0.5764,0.8319,0.4879,0.7916,0.5546,139.86,disordered
Protein L Domain,63,True,PROBABLE,0.9900,0.6565,0.5856,0.8875,0.4647,0.8063,0.4435,117.28,beta_sheet
Barstar,79,True,PROBABLE,0.9900,0.6664,0.5605,0.6605,0.4764,0.7848,0.6846,168.94,disordered
Beta-Trefoil Domain,113,True,PROBABLE,0.7973,0.5562,0.5630,0.6709,0.4523,0.6150,0.7009,323.34,disordered
HIV-1 NC Zn Finger,52,True,WEAK,0.2854,0.4987,0.5102,0.4478,0.4535,0.6064,0.6625,143.06,disordered
EF-Ts Fragment,91,True,REJECT,0.2088,0.4264,0.6153,0.7730,0.5024,0.4354,0.6099,197.07,beta_sheet
Sperm Whale Myoglobin,153,True,PROBABLE,0.9900,0.6731,0.5733,0.8609,0.4835,0.7613,0.5975,328.26,beta_sheet
Hemoglobin Alpha,141,True,PROBABLE,0.9684,0.7326,0.6138,0.9139,0.4795,0.8379,0.6030,344.75,alpha_helix
PLC Domain,97,True,PROBABLE,0.9900,0.6714,0.5312,0.8071,0.4654,0.7673,0.5849,316.64,disordered
Thioredoxin,108,True,PROBABLE,0.9544,0.7157,0.5939,0.9288,0.4991,0.7983,0.5965,274.27,beta_sheet
Interleukin-8,70,True,PROBABLE,0.9900,0.6607,0.6021,0.7871,0.4722,0.7565,0.6090,212.79,beta_sheet
Cyclophilin A,165,True,PROBABLE,0.8654,0.5895,0.5436,0.8793,0.4544,0.6299,0.6937,507.60,disordered
ICaBP,76,True,PROBABLE,0.9900,0.6344,0.5855,0.7744,0.4867,0.7498,0.5454,227.47,beta_sheet
Flavodoxin,181,True,PROBABLE,0.9900,0.6561,0.5688,0.7541,0.4575,0.7667,0.6289,494.77,beta_sheet
PA Domain,99,True,REJECT,0.1876,0.2493,0.5664,0.3000,0.3643,0.2405,0.5661,242.44,disordered
Pleiotrophin,123,True,REJECT,0.1973,0.3367,0.5246,0.2663,0.5059,0.2931,0.8760,279.53,disordered
Scenoprotein,80,True,DETERMINISTIC,0.9900,0.6704,0.5636,0.7491,0.5170,0.7945,0.5617,166.91,beta_sheet
T4 Lysozyme,164,True,PROBABLE,0.9577,0.7196,0.5931,0.8565,0.4911,0.8728,0.5330,293.36,beta_sheet
Cu-Zn SOD,160,True,WEAK,0.2579,0.3808,0.5350,0.6811,0.4446,0.3080,0.6699,319.43,disordered
Barnase,110,True,PROBABLE,0.9566,0.7183,0.5587,0.8226,0.4639,0.8509,0.6504,253.33,disordered
